case_id,lambda_value,model_name,fragile_flag,fragile_label,n_points,weight_sum,negative_frequency,negative_frequency_weighted,min_eigenvalue_mean,min_eigenvalue_weighted_mean,min_eigenvalue_q10,min_eigenvalue_q05,spectral_tail_mean,logdet_residual_mean,logdet_residual_weighted_mean,logdet_residual_q90,logdet_residual_q95,euler_density_proxy_mean,euler_density_proxy_weighted_mean,determinant_g_mean,determinant_g_weighted_mean,logdet_g_mean,logdet_g_weighted_mean,logdet_target_mean,logdet_target_weighted_mean,fragility_score_mean,chart_id_mode
cefalu_lambda_0_50,0.5,global,False,regular,589.0,590.4208984375,0.04753820033955857,0.04162578055098775,0.12532612681388855,0.1253092378635033,0.029905110970139506,0.0026468187570571912,-0.0031737840539081243,-1.1568362712860107,-1.0896762899383587,0.5617609977722169,0.741931962966919,-4.826729774475098,-4.768679038192733,0.022629432380199432,0.022425105832800184,-4.826729774475098,-4.768679038192733,-3.669893741607666,-3.679002747887248,1.1599607401832788,3.0
cefalu_lambda_0_50,0.5,global,True,fragile,11.0,9.579116821289062,0.0,0.0,0.0991833508014679,0.10409161457119388,0.056931089609861374,0.054603807628154755,0.054603807628154755,0.09160800278186798,0.2180637925345534,0.6788802146911621,0.7045416831970215,-4.665061950683594,-4.559069690805112,0.010699079371988773,0.011664892557785862,-4.665061950683594,-4.559069690805112,-4.756669998168945,-4.777133483339665,0.664254572332312,3.0
cefalu_lambda_0_50,0.5,local,False,regular,589.0,590.4208984375,0.013582342954159592,0.016301671644286017,0.15744316577911377,0.1564629378468356,0.04980178847908974,0.033889909833669664,0.026638094045742716,-0.30684900283813477,-0.3357135831098643,0.8312111854553226,0.9500374794006349,-3.9767425060272217,-4.014716330461078,0.03247351571917534,0.032237624380826585,-3.9767425060272217,-4.014716330461078,-3.669893741607666,-3.679002747887248,1.1599607401832788,3.0
cefalu_lambda_0_50,0.5,local,True,fragile,11.0,9.579116821289062,0.09090909090909091,0.05735921244822054,0.09536374360322952,0.09164315221106294,0.02118523046374321,0.006813035113736987,0.006813035113736987,-1.2469731569290161,-0.9201300218726363,0.9113032817840576,1.0368764400482178,-6.00364351272583,-5.697263505212302,0.01100737415254116,0.010310450503557979,-6.00364351272583,-5.697263505212302,-4.756669998168945,-4.777133483339665,0.664254572332312,3.0
cefalu_lambda_0_75,0.75,global,False,regular,551.0,546.5546264648438,0.041742286751361164,0.038767234296191534,0.1347743570804596,0.1324000071229582,0.03316629305481911,0.006804703501984477,0.002520045905839652,-1.1019045114517212,-1.0829927598753903,0.5524489879608154,0.7700985670089722,-4.619072437286377,-4.628531814522903,0.02650655433535576,0.025713060796792427,-4.619072437286377,-4.628531814522903,-3.517167806625366,-3.5455390557455098,1.0706297798135107,3.0
cefalu_lambda_0_75,0.75,global,True,fragile,49.0,53.445396423339844,0.08163265306122448,0.051981503314597784,0.0907694548368454,0.094210642261064,0.009397170320153239,-0.021009475737810125,-0.030762337148189545,-1.6343867778778076,-1.2109490447719546,0.26722311973571794,0.50092258453369,-5.702169418334961,-5.2947725284570755,0.013495723716914654,0.014559152991331795,-5.702169418334961,-5.2947725284570755,-4.067782878875732,-4.083823473815184,0.5992149700904551,3.0
cefalu_lambda_0_75,0.75,local,False,regular,551.0,546.5546264648438,0.018148820326678767,0.02024308615918145,0.1699036955833435,0.16737392877875654,0.058592136949300766,0.03618653491139412,0.029292910191413415,-0.365852415561676,-0.39243909268939836,0.8527674674987793,1.0049703121185303,-3.8830206394195557,-3.937978151067403,0.03799079731106758,0.03683649390193788,-3.8830206394195557,-3.937978151067403,-3.517167806625366,-3.5455390557455098,1.0706297798135107,3.0
cefalu_lambda_0_75,0.75,local,True,fragile,49.0,53.445396423339844,0.10204081632653061,0.10232870615268343,0.14315705001354218,0.14492110445757056,0.00987538099288942,-0.020530270040035246,-0.031019365414977074,-1.2567538022994995,-1.25395754668119,1.3629531383514406,1.4460067749023435,-5.324536323547363,-5.337781005626457,0.029767613857984543,0.03044269349978312,-5.324536323547363,-5.337781005626457,-4.067782878875732,-4.083823473815184,0.5992149700904551,3.0
cefalu_lambda_0_90,0.9,global,False,regular,521.0,518.35107421875,0.04222648752399232,0.03691029043095761,0.14462842047214508,0.1418352416999509,0.04048271104693413,0.009590346366167068,0.006882331652549219,-1.076040267944336,-1.0222546725694324,0.5482382774353027,0.7466640472412109,-4.478915214538574,-4.472337122265217,0.03037504106760025,0.029436244915546843,-4.478915214538574,-4.472337122265217,-3.402874708175659,-3.4500824531962935,1.0356620282926834,3.0
cefalu_lambda_0_90,0.9,global,True,fragile,79.0,81.64892578125,0.0759493670886076,0.08308794746114376,0.11991842836141586,0.12143750489488347,0.020946604758501054,-0.008278929907828568,-0.017942921142093837,-1.5147590637207031,-1.5649662401109161,0.5255241394042971,0.7206783771514889,-5.151683807373047,-5.231457838357462,0.022275196388363838,0.022584335585300853,-5.151683807373047,-5.231457838357462,-3.636925458908081,-3.666491610962459,0.597585266669325,3.0
cefalu_lambda_0_90,0.9,local,False,regular,521.0,518.35107421875,0.009596928982725527,0.013431749593110961,0.18376456201076508,0.1790306102691177,0.07389649748802185,0.04709396883845329,0.04088986127303457,-0.1906292587518692,-0.25649301926165086,0.7798902988433838,0.9783954620361328,-3.593503952026367,-3.706575472465884,0.04251118004322052,0.040632859780585166,-3.593503952026367,-3.706575472465884,-3.402874708175659,-3.4500824531962935,1.0356620282926834,3.0
cefalu_lambda_0_90,0.9,local,True,fragile,79.0,81.64892578125,0.02531645569620253,0.027908555660817205,0.1533486694097519,0.14909529985145212,0.04447434842586518,0.027646387554705148,0.018487774475943297,-0.5366057753562927,-0.5856111557584339,0.8420416355133057,1.0167711257934566,-4.173530578613281,-4.2521027615001294,0.03137475624680519,0.03027917280279071,-4.173530578613281,-4.2521027615001294,-3.636925458908081,-3.666491610962459,0.597585266669325,3.0
cefalu_lambda_1_0,1.0,global,False,regular,516.0,519.9242553710938,0.04263565891472868,0.03976726040334788,0.14802849292755127,0.1450880872148202,0.04275332763791084,0.010489659383893013,0.006819769820420054,-1.112284779548645,-1.0676372517095563,0.5190272331237793,0.7085614800453186,-4.428483486175537,-4.447340796163848,0.032459806650877,0.0313913432362486,-4.428483486175537,-4.447340796163848,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,global,True,fragile,84.0,80.07568359375,0.07142857142857142,0.08609878712305605,0.1275235116481781,0.11883816703983269,0.021012568287551405,-0.013323244918137788,-0.013301445352327492,-1.624563455581665,-1.8718037338150926,0.3881023883819582,0.545737540721893,-5.0180983543396,-5.356628143964471,0.026544207707047462,0.02303687300513717,-5.0180983543396,-5.356628143964471,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
cefalu_lambda_1_0,1.0,local,False,regular,516.0,519.9242553710938,0.005813953488372093,0.010138574305290133,0.1934666782617569,0.186964727480921,0.07926293089985847,0.05498251225799322,0.04939418589660468,-0.13103127479553223,-0.20788476435299544,0.7223167419433594,0.9392412304878235,-3.4472298622131348,-3.587588304034479,0.045965131372213364,0.04341007291293084,-3.4472298622131348,-3.587588304034479,-3.3161985874176025,-3.3797035418703714,1.0093924662970246,3.0
cefalu_lambda_1_0,1.0,local,True,fragile,84.0,80.07568359375,0.011904761904761904,0.0060039348158033076,0.17545655369758606,0.1667710273826323,0.05493617877364159,0.038314672932028775,0.03266686532232496,-0.3149639368057251,-0.24911434376130667,0.662541174888611,0.7523388147354125,-3.708498239517212,-3.733938744727385,0.03976050764322281,0.03591219045450816,-3.708498239517212,-3.733938744727385,-3.3935344219207764,-3.484824402397528,0.5943631710890088,3.0
cefalu_lambda_1_10,1.1,global,False,regular,523.0,530.17626953125,0.032504780114722756,0.026107819815300887,0.15615752339363098,0.15210901644880315,0.045639270544052125,0.01860879734158516,0.011955527225201774,-0.9845951199531555,-0.8983090357306381,0.5290196895599365,0.677585458755493,-4.1997599601745605,-4.197238828676326,0.03678176924586296,0.03499116739416538,-4.1997599601745605,-4.197238828676326,-3.21516489982605,-3.2989297876372228,0.9861119068419294,3.0
cefalu_lambda_1_10,1.1,global,True,fragile,77.0,69.82368469238281,0.07792207792207792,0.10020884782194259,0.14323431253433228,0.1288831036310679,0.012811999022960664,-0.011633336544036863,-0.01260529481805861,-1.7508556842803955,-2.126619908976261,0.20410466194152851,0.411399030685425,-4.903923988342285,-5.416143015738682,0.031375814229249954,0.025590847871985338,-4.903923988342285,-5.416143015738682,-3.1530685424804688,-3.289523127020671,0.6114433612554873,3.0
cefalu_lambda_1_10,1.1,local,False,regular,523.0,530.17626953125,0.0057361376673040155,0.010131257692345736,0.2043558657169342,0.1955563388033697,0.09316084682941436,0.06953630521893502,0.060369987611852166,-0.11797236651182175,-0.1894435859070351,0.6889558792114258,0.8446059346199035,-3.333137035369873,-3.4883733704429005,0.05083140358328819,0.047091182287837166,-3.333137035369873,-3.4883733704429005,-3.21516489982605,-3.2989297876372228,0.9861119068419294,3.0
cefalu_lambda_1_10,1.1,local,True,fragile,77.0,69.82368469238281,0.0,0.0,0.19440056383609772,0.18142788705305196,0.06755474954843521,0.043433313816785814,0.04022943280870095,-0.23067940771579742,-0.21123819667806462,0.6143549919128418,0.8273082256317139,-3.3837482929229736,-3.5007613252508176,0.049523938447237015,0.04375666772768735,-3.3837482929229736,-3.5007613252508176,-3.1530685424804688,-3.289523127020671,0.6114433612554873,3.0
